school,major,verbal,math,verbal + math,writing,verbal + math + writing,,,,,`
Arts,Art,554,608,1162,558,1720,,,,,
Arts,Dance,564,571,1135,560,1695,,,,,
Arts,Drama,597,575,1173,597,1769,,,,,
Arts,Music - Performance,N/A,N/A,N/A,N/A,N/A,,,,,
Arts,Music,584,608,1192,593,1785,,,,,
Arts,Studio Art,N/A,N/A,N/A,N/A,N/A,,,,,
Arts,Undeclared,548,605,1153,562,1715,,,,,
Biological Sciences,Biological Sciences,569,604,1173,573,1745,,,,,
Biological Sciences,Biology/Education,576,561,1136,556,1693,,,,,
Biological Sciences,Ecology and Evolutionary Biology,576,575,1151,559,1710,,,,,
Business,Business Administration,570,625,1195,587,1782,,,,,
Education,Education Sciences,547,572,1119,550,1669,,,,,
Engineering,Aerospace Engineering,576,650,1226,571,1797,,,,,
Engineering,Biomedical Engineering,626,666,1292,608,1901,,,,,
Engineering,Biomedical Engineering: Premed,618,670,1288,628,1916,,,,,
Engineering,Chemical Engineering,590,659,1250,599,1849,,,,,
Engineering,Civil Engineering,580,635,1215,573,1788,,,,,
Engineering,Computer Engineering,588,669,1257,580,1837,,,,,
Engineering,Computer Science and Engineering,618,667,1285,590,1875,,,,,
Engineering,Electrical Engineering,567,666,1233,573,1806,,,,,
Engineering,Environmental Engineering,576,642,1217,563,1780,,,,,
Engineering,Materials Science Engineering,528,614,1142,530,1672,,,,,
Engineering,Mechanical Engineering,591,673,1264,584,1847,,,,,
Engineering,Undeclared,582,650,1231,593,1824,,,,,
Humanities,Art History,N/A,N/A,N/A,N/A,N/A,,,,,
Humanities,Chinese Language and Literature,N/A,N/A,N/A,N/A,N/A,,,,,
Humanities,Chinese Studies,N/A,N/A,N/A,N/A,N/A,,,,,
Humanities,Comparative Literature,N/A,N/A,N/A,N/A,N/A,,,,,
Humanities,English,617,571,1189,603,1792,,,,,
Humanities,European Studies,N/A,N/A,N/A,N/A,N/A,,,,,
Humanities,Film and Media Studies,576,631,1207,595,1802,,,,,
Humanities,French,554,598,1152,550,1702,,,,,
Humanities,Global Cultures,588,655,1243,648,1892,,,,,
Humanities,History,616,597,1213,593,1806,,,,,
Humanities,Japanese Lanuage and Literature,N/A,N/A,N/A,N/A,N/A,,,,,
Humanities,Korean Literature and Culture,N/A,N/A,N/A,N/A,N/A,,,,,
Humanities,Literary Journalism,595,548,1144,598,1742,,,,,
Humanities,Philosophy,530,560,1090,560,1650,,,,,
Humanities,Spanish,519,544,1063,521,1584,,,,,
Humanities,Undeclared,555,608,1162,584,1746,,,,,
Info and Computer Sci,Biomedical Computing,N/A,N/A,N/A,N/A,N/A,,,,,
Info and Computer Sci,Business Information Management,579,643,1221,613,1835,,,,,
Info and Computer Sci,Computer Game Science,612,676,1288,605,1893,,,,,
Info and Computer Sci,Computer Science,620,672,1292,612,1904,,,,,
Info and Computer Sci,Computer Science and Engineering,600,685,1285,608,1893,,,,,
Info and Computer Sci,Data Science,N/A,N/A,N/A,N/A,N/A,,,,,
Info and Computer Sci,Informatics,568,655,1223,573,1797,,,,,
Info and Computer Sci,Information and Computer Science,N/A,N/A,N/A,N/A,N/A,,,,,
Info and Computer Sci,Software Engineering,578,696,1274,610,1884,,,,,
Info and Computer Sci,Undeclared,611,683,1293,632,1925,,,,,
Nursing Science,Nursing Science,657,656,1313,653,1966,,,,,
Pharmaceutical Sciences,Pharmaceutical Sciences,564,615,1179,569,1748,,,,,
Physical Sciences,Applied Physics,N/A,N/A,N/A,N/A,N/A,,,,,
Physical Sciences,Chemistry,566,622,1187,566,1754,,,,,
Physical Sciences,Earth and Environmental Sciences,N/A,N/A,N/A,N/A,N/A,,,,,
Physical Sciences,Earth and Environmental Studies,N/A,N/A,N/A,N/A,N/A,,,,,
Physical Sciences,Earth System Science,566,563,1129,554,1684,,,,,
Physical Sciences,Environmental Science,598,624,1221,595,1816,,,,,
Physical Sciences,Mathematics,505,704,1209,563,1772,,,,,
Physical Sciences,Physics,551,709,1259,585,1844,,,,,
Physical Sciences,Undeclared,549,642,1192,563,1754,,,,,
Public Health,Public Health Policy,549,561,1110,545,1655,,,,,
Public Health,Public Health Sciences,561,577,1138,571,1709,,,,,
Social Ecology,"Criminology, Law and Society",544,543,1086,542,1628,,,,,
Social Ecology,Psychology and Social Behavior,549,575,1124,560,1684,,,,,
Social Ecology,Social Ecology,519,529,1047,507,1554,,,,,
Social Ecology,Undeclared,N/A,N/A,N/A,N/A,N/A,,,,,
Social Ecology,Urban Studies,N/A,N/A,N/A,N/A,N/A,,,,,
Social Sciences,Anthropology,601,573,1174,581,1755,,,,,
Social Sciences,Business Economics,525,667,1193,558,1751,,,,,
Social Sciences,Cognitive Sciences,590,595,1184,598,1783,,,,,
Social Sciences,Economics,519,671,1189,563,1752,,,,,
Social Sciences,International Studies,563,587,1150,563,1713,,,,,
Social Sciences,Political Science,590,570,1160,576,1737,,,,,
Social Sciences,Psychology ,561,607,1168,575,1743,,,,,
Social Sciences,Quantitative Economics,512,668,1180,551,1731,,,,,
Social Sciences,Social Policy and Public Service,549,541,1090,556,1646,,,,,
Social Sciences,Social Science,N/A,N/A,N/A,N/A,N/A,,,,,
Social Sciences,Sociology,547,571,1118,551,1669,,,,,
Social Sciences,Undeclared,520,670,1190,574,1764,,,,,
Undergrad Education,Undeclared,541,605,1146,548,1694,,,,,
